Name,MW,time
!21X_4MCC_A,315.37,6663
!227_2O8H_A,484.591,2982
!228_2ORO_A,420.464,4173
!22K_3OT3_A,391.289,5159
!22L_4MCD_A,228.27,4863
!22S_3MS7_A,375.828,3483
!22U_2ZC9_H,386.895,3740
!237_2PR3_A,546.01,4771
!238_2PRH_A,390.814,6866
!239_4FUC_A,320.388,3237
!23C_2R9W_A,387.342,3476
!23R_3A40_X,458.673,13515
!23T_2HHW_A,462.137,6861
!23U_3DHK_H,462.991,4017
!23V_3MTB_A,375.828,3291
!240_2Q59_A,526.481,10563
!243_3DSJ_A,295.437,744
!245_4O95_A,247.68,1999
!246_2QPM_A,261.707,2302
!24B_1QV6_A,144.119,546
!24I_2C6C_A,423.117,2618
!24L_3V9Y_A,570.566,13647
!24P_3FH5_A,268.373,2014
!24U_2ZI2_H,317.406,4138
!24Y_4MEP_A,363.8,4081
!252_2Z4X_A,300.183,523
!258_2RAY_X,156.609,1048
!25E_3MTD_A,357.382,3562
!25F_4BU7_A,301.138,505
!25K_4MEN_A,267.329,6616
!25O_4MEQ_A,225.249,4792
!25Q_4P4C_A,333.344,11208
!25Z_3RPR_A,363.357,4576
!260_2RB0_X,207.015,579
!261_3HU8_A,138.164,772
!263_2RB2_X,147.177,805
!264_2RBN_A,132.163,859
!269_2RBS_A,170.636,1123
!26B_3DDS_A,504.597,6863
!26G_4MES_A,243.304,1983
!26K_4MBI_A,272.329,6588
!26M_4MHO_A,389.399,3524
!26O_3NC4_A,357.382,3417
!26R_4MI3_A,367.437,4348
!26U_2ZIQ_H,345.459,4779
!26V_4MI6_A,379.447,3578
!26W_4MI9_A,353.41,4062
!26Z_3RPV_A,389.452,4250
!274_2J7T_A,569.095,3075
!27D_4M7I_A,414.435,10906
!27H_4MG7_A,358.471,12677
!27M_4MGC_A,246.215,1069
!27O_4MJP_B,281.369,2319
!27R_4MJQ_A,333.157,2410
!27U_2ZHQ_H,379.475,4493
!27Z_3RPY_A,313.356,4028
!281_2PJ9_A,511.532,6304
!287_2RG6_A,458.512,8833
!28C_4M7B_A,269.302,5839
!28F_4MB9_A,400.455,7601
!28M_4MIB_A,484.611,4829
!28P_3U9W_A,327.417,4762
!28Q_4MK8_A,454.582,5069
!28R_4MK9_A,467.537,4276
